id,name,latitude,longitude
0000033111,Arizona State University                          ,+33.421944444,-111.940000000
0000035149,Australian National University                    ,-35.277694444,+149.118500000
0000042071,Boston University                                 ,+42.349722222,-071.100277778
0000041071,Brown University                                  ,+41.828611111,-071.399444444
0000034118,California Institute of Technology                ,+34.137222222,-118.125000000
0000040079,Carnegie Mellon University                        ,+40.444722222,-079.945000000
0000040073,Columbia University                               ,+40.808055556,-073.962222222
0000042076,Cornell University                                ,+42.448888889,-076.478611111
0000036078,Duke University                                   ,+36.066666667,-078.937500000
0000048002,Ecole Normale Superieure Paris                    ,+48.841666667,+002.343938889
0000033084,Emory University                                  ,+33.791944444,-084.323611111
0000046006,EPF Lausanne                                      ,+46.520555556,+006.568861111
0000047008,ETH Zurich                                        ,+47.376388889,+008.548055556
0000031121,Fudan University                                  ,+31.297500000,+121.503611111
0000033085,Georgia Institute of Technology                   ,+33.771666667,-084.392777778
0000042072,Harvard University                                ,+42.377777778,-071.116666667
0000031035,Hebrew University of Jerusalem                    ,+31.794611111,+035.241388889
0000041083,Heidelberg University                             ,+41.114444444,-083.166805556
0000051000,Imperial College London                           ,+51.498805556,-000.174888889
0000039076,Johns Hopkins University                          ,+39.298055556,-076.594444444
0000036127,KAIST                                             ,+36.365833333,+127.363888889
0000059018,Karolinska Institute                              ,+59.348111111,+018.023694444
0000021039,King Abdulaziz University                         ,+21.494750000,+039.253055556
0000024046,King Saud University                              ,+24.721944444,+046.627777778
0000051001,Kings College London                              ,+51.505555556,-000.112058889
0000037127,Korea University                                  ,+37.589166667,+127.033055556
0000050004,KU Leuven                                         ,+50.878333333,+004.699805556
0000035135,Kyoto University                                  ,+35.025833333,+135.775000000
0000055013,Lund University                                   ,+55.709166667,+013.200500000
0000042073,Massachusetts Institute of Technology             ,+42.359444444,-071.093888889
0000045073,McGill University                                 ,+45.504805556,-073.577194444
0000038146,Monash University                                 ,-38.311388889,+146.430000000
0000055037,Moscow State University                           ,+55.702777778,+037.530555556
0000035136,Nagoya University                                 ,+35.154722222,+136.966944444
0000001103,Nanyang Technological University                  ,+01.344569444,+103.681111111
0000019099,National Autonomous University of Mexico          ,+19.332500000,-099.184805556
0000025121,National Taiwan University                        ,+25.015916667,+121.536666667
0000001104,National University of Singapore                  ,+01.296319444,+103.775000000
0000040074,New York University                               ,+40.730000000,-073.995000000
0000042087,Northwestern University                           ,+42.056944444,-087.677222222
0000034135,Osaka University                                  ,+34.825555556,+135.520000000
0000039116,Peking University                                 ,+39.986888889,+116.305888889
0000040075,Princeton University                              ,+40.346111111,-074.653611111
0000040086,Purdue University                                 ,+40.428333333,-086.914444444
0000029095,Rice University                                   ,+29.718055556,-095.405000000
0000037126,Seoul National University                         ,+37.459444444,+126.951111111
0000031122,Shanghai Jiao Tong University                     ,+31.200833333,+121.429722222
0000048003,Sorbonne University                               ,+48.850805556,+002.341305556
0000037122,Stanford University                               ,+37.430000000,-122.170000000
0000059019,Stockholm University                              ,+59.362194444,+018.057805556
0000023113,Sun Yat-sen University                            ,+23.096500000,+113.298888889
0000048011,Technical University of Munich                    ,+48.148611111,+011.568500000
0000032035,Technion Israel Institute of Technology           ,+32.776805556,+035.023111111
0000022114,The Hong Kong University of Science and Technology,+22.338333333,+114.265000000
0000039083,The Ohio State University                         ,+39.999444444,-083.014722222
0000040077,The Pennsylvania State University                 ,+40.807222222,-077.865277778
0000041087,The University of Chicago                         ,+41.789722222,-087.601111111
0000022115,The University of Hong Kong                       ,+22.283888889,+114.138055556
0000053001,The University of Sheffield                       ,+53.381111111,-001.488638889
0000050001,The University of Southampton                     ,+50.933888889,-001.396311111
0000030097,The University of Texas at Austin                 ,+30.286111111,-097.739444444
0000035139,The University of Tokyo                           ,+35.713611111,+139.762500000
0000038140,Tohoku University                                 ,+38.254444444,+140.871944444
0000035140,Tokyo Institute of Technology                     ,+35.513611111,+139.482222222
0000040116,Tsinghua University                               ,+40.000000000,+116.322666667
